country,year,indicator,value
TN,2024,gdp,51332285656.5422
TN,2023,gdp,48205328303.3398
TN,2022,gdp,44929920092.7955
TN,2021,gdp,47073234359.1819
TN,2020,gdp,42491780918.361
TN,2019,gdp,41905642418.825
TN,2018,gdp,42686504459.801
TN,2017,gdp,42163530590.9462
TN,2016,gdp,44360072680.4476
TN,2015,gdp,45779494041.9295
TN,2014,gdp,50271812920.612
TN,2013,gdp,48685446413.953
TN,2012,gdp,47311401812.6733
TN,2011,gdp,48123325825.0739
TN,2010,gdp,46206091937.9628
TN,2009,gdp,43455740497.3061
TN,2008,gdp,44859439902.2191
TN,2007,gdp,38915353866.757
TN,2006,gdp,34376664600.5898
TN,2005,gdp,32272186694.8043
TN,2004,gdp,31183885241.4396
TN,2003,gdp,27453902261.4629
TN,2002,gdp,23141616604.5242
TN,2001,gdp,22065832448.8623
TN,2000,gdp,21473528160.7782
TN,1999,gdp,22943202174.9668
TN,1998,gdp,21802893587.126
TN,1997,gdp,20746210353.845
TN,1996,gdp,19587161806.7655
TN,1995,gdp,18030876599.3444
TN,1994,gdp,15633174304.0905
TN,1993,gdp,14608335608.1543
TN,1992,gdp,15496708060.4184
TN,1991,gdp,13074782608.6957
TN,1990,gdp,12290568181.8182
TN,1989,gdp,10101851744.5627
TN,1988,gdp,10096245762.4352
TN,1987,gdp,9696715910.70907
TN,1986,gdp,9017806654.4169
TN,1985,gdp,8410226052.6114
TN,1984,gdp,8254541194.82566
TN,1983,gdp,8350582747.83541
TN,1982,gdp,8133580051.70251
TN,1981,gdp,8428445294.08429
TN,1980,gdp,8744134354.16152
TN,1979,gdp,7188863903.63675
TN,1978,gdp,5968460080.1113
TN,1977,gdp,5109324009.32401
TN,1976,gdp,4508191942.16081
TN,1975,gdp,4328965587.53266
TN,1974,gdp,3545868575.14639
TN,1973,gdp,2730813385.32624
TN,1972,gdp,2237556148.51085
TN,1971,gdp,1685162272.40652
TN,1970,gdp,1439238095.2381
TN,1969,gdp,1289904761.90476
TN,1968,gdp,1214666666.66667
TN,1967,gdp,1085714285.71429
TN,1966,gdp,1040952380.95238
TN,1965,gdp,991047619.047619
TN,1964,gdp,1025866792.15686
TN,1963,gdp,1026737600.0
TN,1962,gdp,880027733.333333
TN,1961,gdp,866155428.571429
TN,2024,population,12277109.0
TN,2023,population,12200431.0
TN,2022,population,12119334.0
TN,2021,population,12048622.0
TN,2020,population,11974057.0
TN,2019,population,11875081.0
TN,2018,population,11765514.0
TN,2017,population,11650498.0
TN,2016,population,11528674.0
TN,2015,population,11402264.0
TN,2014,population,11274288.0
TN,2013,population,11141361.0
TN,2012,population,11009647.0
TN,2011,population,10886035.0
TN,2010,population,10765980.0
TN,2009,population,10650681.0
TN,2008,population,10542635.0
TN,2007,population,10441702.0
TN,2006,population,10346410.0
TN,2005,population,10255472.0
TN,2004,population,10166163.0
TN,2003,population,10071632.0
TN,2002,population,9971515.0
TN,2001,population,9869677.0
TN,2000,population,9764935.0
TN,1999,population,9655963.0
TN,1998,population,9541667.0
TN,1997,population,9421270.0
TN,1996,population,9294432.0
TN,1995,population,9161258.0
